key,value,date
Radio Site Two,0,7/27/2015
Radio Site Two,0,7/28/2015
Radio Site Two,92,7/29/2015
Radio Site Two,36,7/30/2015
Radio Site Two,2138772,7/31/2015
Radio Site Two,3916107,8/1/2015
Radio Site Two,756357,8/2/2015
Radio Site Two,185953,8/3/2015
Radio Site Two,751541,8/4/2015
Radio Site Two,1681195,8/5/2015
Radio Site Two,1260801,8/6/2015
Radio Site Two,1075257,8/7/2015
Radio Site Two,1071054,8/8/2015
Radio Site Two,434007,8/9/2015
Radio Site Two,1096383,8/10/2015
Radio Site Two,1108485,8/11/2015
Radio Site Two,1072569,8/12/2015
Radio Site Two,999605,8/13/2015
Radio Site Two,996728,8/14/2015
Radio Site Two,1012472,8/15/2015
Demographic Buy One,0,7/15/2015
Demographic Buy One,0,7/16/2015
Demographic Buy One,0,7/17/2015
Demographic Buy One,0,7/18/2015
Demographic Buy One,0,7/19/2015
Demographic Buy One,0,7/20/2015
Demographic Buy One,0,7/21/2015
Demographic Buy One,34027,7/22/2015
Demographic Buy One,54473,7/23/2015
Demographic Buy One,58343,7/24/2015
Demographic Buy One,60298,7/25/2015
Demographic Buy One,59172,7/26/2015
Demographic Buy One,61483,7/27/2015
Demographic Buy One,58988,7/28/2015
Demographic Buy One,58912,7/29/2015
Demographic Buy One,53881,7/30/2015
Demographic Buy One,59970,7/31/2015
Demographic Buy One,62325,8/1/2015
Demographic Buy One,65154,8/2/2015
Demographic Buy One,67944,8/3/2015
Demographic Buy One,71310,8/4/2015
Demographic Buy One,61913,8/5/2015
Demographic Buy One,57777,8/6/2015
Demographic Buy One,52066,8/7/2015
Demographic Buy One,48797,8/8/2015
Demographic Buy One,39558,8/9/2015
Demographic Buy One,50359,8/10/2015
Demographic Buy One,49415,8/11/2015
Demographic Buy One,47292,8/12/2015
Demographic Buy One,46557,8/13/2015
Demographic Buy One,49223,8/14/2015
Demographic Buy One,46293,8/15/2015
Demographic Buy Two,0,7/15/2015
Demographic Buy Two,0,7/16/2015
Demographic Buy Two,6,7/17/2015
Demographic Buy Two,0,7/18/2015
Demographic Buy Two,0,7/19/2015
Demographic Buy Two,1,7/20/2015
Demographic Buy Two,2,7/21/2015
Demographic Buy Two,1887,7/22/2015
Demographic Buy Two,13981,7/23/2015
Demographic Buy Two,14771,7/24/2015
Demographic Buy Two,11625,7/25/2015
Demographic Buy Two,11207,7/26/2015
Demographic Buy Two,13227,7/27/2015
Demographic Buy Two,12165,7/28/2015
Demographic Buy Two,11609,7/29/2015
Demographic Buy Two,12136,7/30/2015
Demographic Buy Two,9495,7/31/2015
Demographic Buy Two,9964,8/1/2015
Demographic Buy Two,10192,8/2/2015
Demographic Buy Two,11541,8/3/2015
Demographic Buy Two,10999,8/4/2015
Demographic Buy Two,10120,8/5/2015
Demographic Buy Two,10825,8/6/2015
Demographic Buy Two,9966,8/7/2015
Demographic Buy Two,9693,8/8/2015
Demographic Buy Two,2785,8/9/2015
Demographic Buy Two,10938,8/10/2015
Demographic Buy Two,10216,8/11/2015
Demographic Buy Two,8683,8/12/2015
Demographic Buy Two,8707,8/13/2015
Demographic Buy Two,9395,8/14/2015
Demographic Buy Two,9174,8/15/2015
